Natural_language_description,Code1,Code2
parsing string token bash,"awk '{ print $2 > $1 }' your-file
",None
include commands bash ps without breaking line length calculation,"red=$(tput setaf 1)

reset=$(tput sgr0)

[ ""$PS1"" = ""\\s-\\v\\\$ "" ] && PS1='$(exit_code=$?; [[ $exit_code -eq 0 ]] || printf %s \[$red\] $exit_code \[$reset\] "" "")$ '
","set_exit_code() {
    exit_code=$?
    [[ $exit_code -eq 0 ]] || printf ""\[$(tput setaf 1)\] $exit_code \[$(tput sgr0)\] ""
}
set_bash_prompt() {
    PS1=""$(set_exit_code)$ "" # with double quotes!
}
PROMPT_COMMAND=set_bash_prompt
"
bash replace space new line,"echo ""/path/to/file /path/to/file2 /path/to/file3 /path/to/file4 /path/to/file5""\
| tr "" "" ""\n""
",None
globignore work,shopt -s dotglob,man bash
copy file replacing text,"sed ""s/current_date/`date +%Y%m%d`/"" infile > copyfile
",None
emulate tail sed,"sed -e :a -e '$q;N;11,$D;ba'
",None
bash store time commands executed,history -a,None
processing command output line line without mixing standard input,"exec 3<&0
while read line
do
    mplayer ""$line"" <&3
done < <(find-me-random-mp3s)
","exec 3< <(find-me-random-mp3s)
while IFS= read -r -u3 path; do mplayer ""$path""; done
exec 3<&-
"
alt left skip words work terminal emulators,"## enable Alt-arrows 
""\e[1;3D"": backward-word ### Alt left
""\e[1;3C"": forward-word ### Alt right
",set bell-style none
redirect output command line app howie aiml interpreter another command line app espeak,"./script.sh | tee >> output ; espeak -f output && rm output
","echo ""Welcome to the lab $(cat /var/mail/pi|grep ""was granted entry"" |grep -v ""<p>"" | sed ""s/ was.*/ /""|tail -1 | awk -F "", "" ' { t = $1; $1 = $2; $2 = t; print; }')"" |espeak -ven-us+f4 -s150 2>/dev/null
"
piping command substitution string containing pipes,"$ x='grep a | grep b'
$  echo ab | eval ""$x""
ab
","$ x='grep a | grep b'
$ alias y=$x
$ echo ab | y
ab
"
create gui application launcher xfce terminal fish inheriting environment variables bash,"xfce4-terminal -e 'bash -i -c fish'
",None
bash script find debian release number etc debian version,"VERSION=$(sed 's/\..*//' /etc/debian_version)
",None
start first command list printed command history grep something,"$ echo ""hello""
hello
$ history | grep hello
 5057  echo ""hello""
$ !5057
echo ""hello""
hello
$
","i=5  # Execute 5th command from the beginning of history
`history | sed -n ""${i}p"" | sed 's/^.\{7\}//'`
"
read value variable name variable value another variable,"PACKAGE_VER=1.2.3
USE_VERSION_FROM=PACKAGE_VER
VERSION_TO_USE=${!USE_VERSION_FROM}
echo $VERSION_TO_USE
",None
kill process script writing file behavior," exec('[ -f somefile.png ] && ./zopflipng -y somefile.png somefile.png');
",None
bash show prompts arguments provided,"#!/bin/bash

ask()
{
  declare -g $1=""$2""
  if [ -z ""${!1}"" ]; then
    echo ""$3""
    read $1
  fi
}

ask PROJECT_DIR ""$1"" ""Directory where project resides:""
ask SITE_NAME   ""$2"" ""Name of the website:""
ask ADMIN_PWD   ""$3"" ""Admin password:""
ask THEME_DIR   ""$4"" ""Directory of the theme:""
ask THEME_NAME  ""$5"" ""Name of the theme:""

echo ""$PROJECT_DIR $SITE_NAME""
",None
one find many bits file one command,"du -b FILE | awk '{ print $1 * 8 }'
",None
share stdout multiple processes,"$ nc 111.222.233.244 1234 | ./tcpclone 5555 &
$ nc 127.0.0.1 5555
","$ nc 111.222.233.244 1234 \
    | tee -a /tmp/stream.dump \
    | while ! do_something_here; do : ; done
"
bash howto script answer mutliline answer,"#!/bin/bash

read foo
bar=(${foo})

case ${#bar[@]} in
  0) echo ""bar has 0 words"" ;;
  1) echo ""bar has 1 word"" ;;
  *) echo ""bar has > 1 words"" ;;
esac
",None
bash script copying text currently entered prompt,"copy_buffer() {
  printf %s ""$READLINE_LINE"" | xclip -sel clipboard
}
bind -x '""\C-[c"": ""copy_buffer""'
",None
shorten customized ps prompt,"PS1=""\[\033[01;32m\]\u@${HOSTNAME:0:10}\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]$(parse_git_branch)\n\$ ""
",None
script split string,"find . -type f -name ""*mp3"" | 
  while read file; do 
   album=""$(basename ""$(dirname ""$file"")"")""; 
   filename=""$(basename ""$file"")""; 
   artist=${filename%%-*}; artist=${artist%% }; artist=${artist## };
   title=${filename##*-}; title=${title%% }; title=${title## };
   title=${title%%.mp3}; 
   eyeD3 -A ""$album"" -t ""$title"" -a ""$artist"" ""$file"";
 done
",None
using n script interactive mode,"test_exclamation () {   READLINE_LINE=$( history -p ""$READLINE_LINE"" ) ;  }
",None
put color variables bash,"PS1=$'\n\W\xe2\x98\x85 \['$txtpur'\]\n\n[\t]\['$txtrst'\][\u]->'
",None
bash script convert flac mp ffmpeg,"for i in *.flac ; do 
    ffmpeg -i ""$i"" -acodec libmp3lame ""$(basename ""${i/.flac}"")"".mp3
    sleep 60
done
","find -name ""*.flac"" -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 \;"
add binaries bash tab completion command,"complete -o filenames -F _command trickle
","complete -c trickle
"
get distrib codename,"source /etc/lsb-release
sudo add-apt-repository ""deb http://some-repo/ubuntu $DISTRIB_CODENAME main""
",None
cd one directory,"mkdir -- ""$@"" || exit 
wget -q http://foundation.zurb.com/cdn/releases/foundation-latest.zip &&
  for d do
     (
       cd -- ""$d"" &&
         unzip -q ../foundation-latest.zip
     )
  done &&
  rm foundation-latest.zip
",None
bash storing commands start spaces,"echo $HISTCONTROL
ignoreboth
",None
installing root currently supported,adduser --home,None
place commands automatically exported users,"if [ -d /etc/profile.d ]; then
  for i in /etc/profile.d/*.sh; do
    if [ -r $i ]; then
      . $i
    fi
  done
  unset i
fi
",None
using sed add url start every line,"sed ""s|^|$URL|""
",None
use variables inside expansion without eval,"shopt -s extglob
extensions='@(foo|bar)'
ls 1.$extensions
",None
bash parameter expansion greedy versus non greedy,"shopt -s extglob
echo ${version/%+([0-9])/}
1.2.3.
",None
installing crontab using bash script,"*/05 * * * * root bash /mnt/md0/capture/delete_old_pcap.sh
*/12 * * * * root bash  /mnt/md0/capture/merge_pcap.sh
",None
bash script signal concurrently running instance script condition increment counter,sleep 100,None
pass bash script arguments double quotes php cli script,"/usr/bin/php test.php ""$@""
",None
one liner padding columns similar printf output previous pipe command,"root@xxxxxxlp01 ~ $ spacewalk-report entitlements | cut -d, -f4,5-6 | column -t -s,
entitlement                                                                  used  total
RHN Management Entitled Servers                                              114   391
RHN Provisioning Entitled Servers                                            114   390
Virtualization Host Entitled Servers                                         0     13
Clustering technology beta                                                   0     1
Private Channel Family 1                                                     22
RHEL AS (v. 4 for x86) SDK                                                   0     12
RHEL Clustering                                                              0     1
RHEL Clustering Option Beta Debuginfo (v. 5)                                 0     1
RHEL Clustering Option Debuginfo (v. 5)                                      0     1
RHEL Desktop Beta Debuginfo (v. 5)                                           0     80
RHEL Desktop Debuginfo (v. 5)                                                0     80
RHEL Desktop FasTrack                                                        0     80
RHEL Desktop FasTrack (v. 5)                                                 0     80
RHEL Desktop Multi OS                                                        34    80
RHEL Desktop Supplementary                                                   18    80
RHEL Desktop Supplementary Beta Debuginfo (v. 5)                             0     80
RHEL Desktop Supplementary Debuginfo (v. 5)                                  0     80
RHEL Desktop Virtualization Beta Debuginfo (v. 5)                            0     80
RHEL Desktop Virtualization Debuginfo (v. 5)                                 0     80
RHEL Desktop Workstation                                                     16    80
RHEL Desktop Workstation Beta Debuginfo (v. 5)                               0     80
RHEL Desktop Workstation Debuginfo (v. 5)                                    0     80
RHEL Desktop Workstation FasTrack                                            0     80
RHEL Desktop Workstation FasTrack Debuginfo (v. 5)                           0     80
RHEL FasTrack                                                                0     59
RHEL FasTrack Debuginfo (v. 5)                                               0     59
",None
interactive shells osx login shells default,"[[ -e ~/.profile ]] && source ~/.profile    # load generic profile settings
[[ -e ~/.bashrc  ]] && source ~/.bashrc     # load aliases etc.
",None
pass argument stored variable wget,"user_agent='--user-agent=""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0""'
cookies_file=""/tmp/wget-cookies.txt""
save_cookies_opts=( --save-cookies ""$cookies_file"" --keep-session-cookies )
load_cookies_opts=( --load-cookies ""$cookies_file"" --keep-session-cookies )

function mywget {
    log ""#!!!!!!!!!# WGET #!!!!!!!!!# wget $quiet $useragent $load_cookies_cmd $@""
    wget ""$user_agent"" ""${load_cookies_opts[@]}"" ""$@""
}
",None
change default arguments gcc run make filename,"$ export CFLAGS='-ggdb3'
$ make test
cc -ggdb3    test.c   -o test
",None
alternate option field,"#get the arguments -c for cell, -n for node, -s for server, -i for initial heap, -m for max heap
while getopts c:n:s:i:m: opt; do
        case $opt in
          c)
                CELL=$OPTARG
                ;;
          n)
                NODE=$OPTARG
                ;;
          s)
                SERV=$OPTARG
                ;;
          i)
                INI_HEAP=$OPTARG
                ;;
          m)
                MAX_HEAP=$OPTARG
                ;;
          ?)
                echo ""Usage: a.sh -c <CELL> -n <NODE> -s <SERVER> [-i <INITIAL HEAP> | -m <MAX HEAP>]""
                exit 1
                ;;
        esac
done

#test if cell name is not null
if [[ -z ""$CELL"" || -z ""$NODE"" || -z ""$SERV"" ]]; then
    echo ""Cell, Node and Server are mandatory values""
    echo ""Usage: a.sh -c <CELL> -n <NODE> -s <SERVER> [-i <INITIAL HEAP> | -m <MAX HEAP>]""
    exit 1
fi

#make sure either -i or -m was used (or both) and is an integer
shopt -s extglob
if [[ ( -z ""$INI_HEAP"" && -z ""$MAX_HEAP"" ) || -n ""${INI_HEAP##+([0-9])}"" || -n ""${MAX_HEAP##+([0-9])}"" ]]; then
    echo ""Initial heap size or maximum heap size (or both) must be specified, and must be an integer""
    exit 1
fi
shopt -u extglob
",None
ssh loop parentheses problem,"TODAY=`date --iso`
CONFIGS=""/etc/inittab /etc/default/cron /etc/default/login ...""

ssh -q $HOST 'for cfg in '${CONFIGS}'; do digest -v -a md5 ${cfg}; done' |\
    awk '{print $2,$4}' | sed 's/) (/\n/;s/[()]//g' >> /tmp/md5_config_$TODAY.txt
",None
package available install git yum,RHN credentials,None
create permanent alias without resourcing bashrc like file,"function palias ()  {

    if [ $# -ne ""2"" ] ; then
        error ""Usage: palias short-alias \'long-alias\'""
        return
    fi

    alias $1=""$2""
    alias $1 >> ~/.bash_aliases
}
",None
ps variable longer shows coloured bash prompt,"# Read the shell-agnostic login hook
if [ -e ~/.profile ]; then . ~/.profile; fi
if [[ $- = *i* ]]; then
  # This is an interactive shell, so read bash's interactive login hooks
  # (which bash omits in login shells)
  if [[ -e /etc/bash.bashrc ]]; then . /etc/bash.bashrc; fi
  if [[ -e /etc/bashrc ]]; then . /etc/bashrc; fi
  if [[ -e ~/.bashrc ]]; then . ~/.bashrc; fi
fi
",None
capture transcript program redirected input output,"#!/usr/bin/expect -f
set transcript_file [open ""transcript"" wb]
spawn myprogram
expect ""Enter command:""
puts -nonewline $transcript_file $expect_out(buffer)
send ""a_command\r""
puts -nonewline $transcript_file ""a_command\r""
puts -nonewline $transcript_file $expect_out(buffer)
send ""another_command\r""
puts -nonewline $transcript_file ""another_command\r""
puts -nonewline $transcript_file $expect_out(buffer)
…
expect eof
close $transcript_file
",None
get bash debug trap execute lists,"PROMPT_COMMAND='at_prompt=t'
trap '
    [ -z ""${at_prompt+set}"" ] ||
    printf %s\\n ""most recent history line: $(history 1)"" >&2
    unset at_prompt
' DEBUG
",None
making sure command executed bash,"if touch -r dcn_file ""${dir_dcn}""/""${TAG1_dcn}"".pcap 
then
    echo ""Command ran successfully.""
else
    echo ""Command had an error: $?""
fi
","touch -r dcn_file ""${dir_dcn}""/""${TAG1_dcn}"".pcap
[ $? -ne 0 ]; then
   echo ""Command failed: touch: $?""
   return $?
fi
"
shell script run,"  echo ""I am located at $(readlink -e -- ""$0"")""
",None
move files output command,"mv $(grep -L Attachments *) dest_dir
",None
restart process get stderr another process,"( 
{ ${PROC1_CMD} >&3 } 2>&1 | 
    while : ; do 
        grep -q ""YOUR ERROR MESSAGE"" && ${YOUR_ACTION} 
    done
) 3>&2
",None
create directories list files spaces name,"find . -maxdepth 1 -name ""*.doc"" | while IFS= read -r f; do 
    mkdir -- ""${f%.doc}""; 
done
",None
one substring replace bash,"for filename in images/*
do
    echo ""filename is now $filename""
    filename=${filename/jpg/png}; echo ""filename is now $filename""
    filename=${filename/file/image}; echo ""filename is now $filename""
    echo ""final filename is ${filename}""
done
","for i in images/*
do
    j=${i/jpg/png}
    echo ${j/file/image}
done
"
use nested replace fi f binary operator expected,"[ -f /etc/bash_completion ] && ! shopt -oq posix && . /etc/bash_completion
",None
arithmetic operations particular column csv file bash,"% awk -F , -v OFS=, '$3/=10' <file
A,10,2,30,40,50
B,20,4,10,30,60
C,30,5,20,40,10
D,40,5,20,10,30
","$ while IFS="","" read a b c rest; do 
    printf ""%s,%s,%s,%s\n"" $a $b $((c/10)) $rest; 
  done < file.csv 
A,10,2,30,40,50
B,20,4,10,30,60
C,30,5,20,40,10
D,40,5,20,10,30
"
bash command string executing create string use later,"for((i=0;i<10;i++)); do 
  date +%s.%N  # Print a timestamp (in format seconds.nanoseconds)
  test=""echo \$(date +%s.%N)"" # Save a command to do the same
  sleep 1      # Sleep for a second
  eval ""$test"" # Evaluate the command saved in variable 'test'
  echo         # Print a new line before the next iteration
done
",$(tail ...)
wget file logging output showing output prompt,"wget --no-check-certificate --auth-no-challenge --http-user=$jen_uname --http-password=$jen_psswd 2>&1 | tee -a wget_log
",None
run grep grep command string bash function,"if (( ${#file_types[@]} > 0 )); then
    regex=""${file_types[*]}""
    regex=""\.\(${regex// /\|}\):""
    grep -I -r ""$pattern"" ""$@"" | grep ""$regex""
else
    grep -I -r ""$pattern"" ""$@""
fi
",None
send sigkills entire pipeline,"while true; do 

    handle_input_with_timeout < <( setsid bash -c '
          printf -- ""-$$"" > /tmp/saved_process_group.pid
          prog1 | prog2 | prog3
          ')
    echo ""Data stopped flowing. Trying again""
    kill -9 $(< /tmp/saved_process_group.pid )

    sleep 5
done
",None
killing background process bash script exiting script,"CLOCK_PID=$!
trap 'kill -9 $CLOCK_PID' EXIT
tail -f mylog.log
",$ watch tail -n 30 /var/log/syslog
puzzles close file descriptors sh bash,"5385   /* Hack <&- (close stdin) case.  Also <&N- (dup and close). */                
5386   if MBTEST(character == '-' && (last_read_token == LESS_AND || last_read_token == GREATER_AND))
5387     return (character);
",None
using trap err send,"exec 2>/some/file
",None
self terminate bash script timeout,"#!/bin/bash
{
    sleep 5m
    kill $$
} &

while true
do
    date
    sleep 1
done
","timeout 5m bash script.sh
"
formatting numbers using awk print,"#!/bin/awk -f
{
     if (l1) {
             printf(""↓ %.2f kB/s ↑ %.2f kB/s\n"" \
               , ($2 - l1) / 1024, ($10 - l2) / 1024)
     } else {
             l1 = $2;
             l2 = $10;
     }
}
",None
falling git checkout non found bash commands,"type command_not_found_handle
",None
closing file descriptor vs,"5385   /* Hack <&- (close stdin) case.  Also <&N- (dup and close). */                
5386   if MBTEST(character == '-' && (last_read_token == LESS_AND || last_read_token == GREATER_AND))
5387     return (character);
",None
check sse support bash,"grep 'sse3\|pni' /proc/cpuinfo > /dev/null
if [ $? -eq 0 ];  then
        echo ""Supported!""
else
        echo ""Not supported!""
fi
",None
avoid spurious characters bash prompt,"LP="" Last prompt at: ""
PS1=""\[\033[s\033[0;0H\033[0;47m\033[K\033[1;34m\$LP \t\033[0m\033[u\][<\u@\h \W>]\$ ""
echo
","PS1=""\[\e[s\e[2;0r\e[H\e[0;47m\e[K\e[1;34m$LP\t\e[0m\e[u\]<\u@\h \W>\$ ""
"
way bash write file every x seconds without closing,"while true; do
  echo ""0""
  sleep 30
done > /dev/watchdog
","while sleep 50; do
    echo 0
done > /dev/watchdog
"
replace leading zero white space sed,"$ DoMSp=$(echo ""$DoM"" | sed ""s/^0*/ /""); echo ""$DoMSp""
 1
",None
press space continue,"read -n1 -r -p ""Press space to continue..."" key

if [ ""$key"" = '' ]; then
    # Space pressed, do something
    # echo [$key] is empty when SPACE is pressed # uncomment to trace
else
    # Anything else pressed, do whatever else.
    # echo [$key] not empty
fi
",None
divide output one command output another,"(awk '{printf ""%s/"", $2}' /proc/loadavg; grep -c processor /proc/cpuinfo;) | bc -l
",bc
change konsole title bash,"case ""$TERM"" in
xterm*|rxvt*)
    PS1=""\[\e]0;${debian_chroot:+($debian_chroot)}\u@\h: \w\a\]$PS1""
    ;;
*)
    ;;
esac
",None
ssl certificate," echo ""GET /"" | openssl s_client -connect servername:port  | openssl x509 -noout -dates
",None
parse multiple string patterns linux shell script,"sed '/BIG.20021208.00001/!d;s/.*\*//' <<\DATA
    ST*810*0001
    BIG*20021208*00001**A999
    N1*ST*XYZ Test Corporation*9*122334455
    N3*987 Freeway Dr.
    N4*New York*NY*98765
    N1*BT*ABC Test Company*9*122334455
    N3*123 Highway Street
    N4*Los Angeles*CA*12345
    ITD*01*3*2**30**30*****60
    FOB*PP
    IT1**1*EA*200**UA*EAN
    PID*F****Lamp
    IT1**4*EA*50**UA*EAN
    PID*F****Chair
    TDS*2000
    CAD*****Routing
    ISS*30*CA
    CTT*50
    SE*19*0001
    ST*810*0002
    BIG*20021208*00001**A1000
    N1*ST*XYZ Test Corporation*9*122334455
    N3*987 Freeway Dr.
    N4*New York*NY*98765
    N1*BT*ABC Test Company*9*122334455
    N3*123 Highway Street
    N4*Los Angeles*CA*12345
    ITD*01*3*2**30**30*****60
    FOB*PP
    IT1**1*EA*200**UA*EAN
    PID*F****Lamp
    IT1**4*EA*50**UA*EAN
    PID*F****Chair
    TDS*2000
    CAD*****Routing
    ISS*30*CA
    CTT*50
    SE*19*0001
    ST*810*0002
    BIG*20021208*00001**A1000
    N1*ST*XYZ Test Corporation*9*122334455
    N3*987 Freeway Dr.
    N4*New York*NY*98765
    N1*BT*ABC Test Company*9*122334455
    N3*123 Highway Street
    N4*Los Angeles*CA*12345
    ITD*01*3*2**30**30*****60
    FOB*PP
    IT1**1*EA*200**UA*EAN
    PID*F****Lamp
    IT1**4*EA*50**UA*EAN
    PID*F****Chair
    TDS*2000
    CAD*****Routing
    ISS*30*CA
    CTT*50
    SE*19*0002
    ST*810*0003
    BIG*20021208*00001**1001
    N1*ST*XYZ Test Corporation*9*122334455
    N3*987 Freeway Dr.
    N4*New York*NY*98765
    N1*BT*ABC Test Company*9*122334455
    N3*123 Highway Street
    N4*Los Angeles*CA*12345
    ITD*01*3*2**30**30*****60
    FOB*PP
    IT1**1*EA*200**UA*EAN
    PID*F****Lamp
    IT1**4*EA*50**UA*EAN
    PID*F****Chair
    TDS*2000
    CAD*****Routing
    ISS*30*CA
    CTT*50
    SE*19*0003
DATA
",None
remove lines newer given date file,"testsecs=$(date +%s --date=""2013/12/03"")
while IFS= read -r line; do
  read -r x d <<< ""$line"" 
  if (( $(date +%s --date=""${d%<br>}"") < $testsecs )); then
    printf '%s\n' ""$line""
  fi
done < buildsave.txt
","awk '$2 < ""2013/12/03""'
"
running command without,cd ~joker,None
disabling job control bash ctrl z,"set [+abefhkmnptuvxBCEHPT] [+o option] [arg ...] 
....
-m
    Monitor mode. Job control is enabled. This option is on by default for interactive
    shells on systems that support it (see JOB CONTROL above). Background processes 
    run in a separate process group and a line containing their exit status is printed
    upon their completion. 
",None
disable ctrl closing window terminator terminal emulator,set -o ignoreeof,None
create log file name input file,"file_name=`ls wip_folder`
log_file=""${log_file}.log""
",None
remove last character echo variable,"echo {0..55..5} | sed 's/ /,/g'
",None
bash paste sourced files main source,"#!/usr/bin/env bash

readonly MAIN=""main.bash""
readonly MONOLITHIC=""monolithic.bash""

[ -f ""$MONOLITHIC"" ] && cp ""$MONOLITHIC"" ""${MONOLITHIC}.bak""

## to extract sourced filename
regex='^\([[:space:]]*\)source[[:space:]]\+\([^[:space:]]\+\)[[:space:]]*$'

IFS=$'\n'  ## retain whitespace

while read main_line; do
    sourced=$(echo ""$main_line"" | sed -n ""s/$regex/\2/p"")
    if [ -n ""$sourced"" ]; then
        indent=$(echo ""$main_line"" | sed -n ""s/$regex/\1/p"")
        while read sourced_line; do
            echo ""${indent}${sourced_line}"" >> ""$MONOLITHIC""
        done < ""$sourced""
    else
        echo ""$main_line"" >> ""$MONOLITHIC""
    fi
done < ""$MAIN""

unset IFS

[ -f ""${MONOLITHIC}.bak"" ] && rm ""${MONOLITHIC}.bak""
",None
controlling bash script concurrency flock inheritance,"(
  flock -n 9 || exit 120
  …
  (exec 9>&-; tomcat &)
) 9>/var/run/my.lock
",None
using ifne bash pipe,"printf ""asdf\n"" | pee 'ifne cat -' 'ifne echo ""stream not empty""'
",None
uid continues else exit,"[ $UID -ne 1000 ] && exit     # exit if UID ist not equal 1000
",None
possible define command bash,"alias gb='cd /media/Dan/evolution'
","gb() { cd /media/Dan/evolution; }
"
parse lines output bash loop,"for i in $(git log --format='%H'); do
    branch=""$(git branch --contains $i|awk 'NR==1{print $1}')""
    [ ""$branch"" != ""*"" ] && echo ""commit '$i' is in branch '$branch'""
done
",None
retrieve lost aliases,"alias >>./bash_aliases
","for alias in $(compgen -a); do type $alias; done
"
creating alias bash script,alias menu='bash ./menuScript.sh',None
clear input bash,"#!/bin/bash

sleep 5
echo done sleeping
read -N 10000000 -t 0.01
","cat <&0 > /dev/null &
"
scp alias,"remoteHost='user@host:destFolder/'
scp -r myFolder ""$remoteHost""
",None
suppress stderr warning messages command inside command substitution,"touch ~/deleted/$(echo ""directory_""$(readlink -f foo)|tr '/' '\' 2> /dev/null)
",None
exclude particular file bash completion,"_grcat() {
  local word
  COMPREPLY=()
  if [ 1 -eq ""$COMP_CWORD"" ]; then
    pushd /etc/grcat &>/dev/null || return 1
    word=""${COMP_WORDS[COMP_CWORD]}""
    local filterpat='README'
    COMPREPLY=($(compgen -f -X ""$filterpat"" -- ""$word""))
    popd &>/dev/null
  fi
} 
complete -F _grcat grcat
",None
understand compgen builtin command,"compgen
 compgen [option] [word]
 Generate possible completion matches for word according to the options, which 
 may be any option accepted by the complete builtin with the exception of -p 
 and -r, and write the matches to the standard output
","compgen [option] [word]
complete [-abcdefgjksuv] [-o comp-option] [-A action] [-G globpat] [-W wordlist]
      [-P prefix] [-S suffix] [-X filterpat] [-F function]
      [-C command] name [name ...]
      complete -pr [name ...]
"
way tell sudo set username owner files created instead root,"sudo install -o belmin /etc/foo.txt ~/foo.txt
",sudo cp -p foo bar
make bash script ask want execute next segment part,"echo ""Do you want to continue?(yes/no)""
read input
if [ ""$input"" == ""yes"" ]
then
echo ""continue""
fi
","#!/bin/bash

#useConfirm=true - comment out the line below like this to disable confirmation
useConfirm=true

confirm() {
   [ ""$useConfirm"" = true ] && read -p ""Proceed? (Enter) - (^C to abort)""
}

echo a
confirm
echo b
echo c
confirm
echo d
"
start background process specific working directory,"(cd /a   && ./script1)&
(cd /a/b && ./script2)&
",None
set retrieve cookie via executable bash script web,"#!/bin/bash

echo ""Set-Cookie: eee=1""
echo ""Content-Type: text""

echo ""<html><body>""

printf '%s\n' ""$HTTP_COOKIE""

echo ""</body></html>""
",None
adding text specific line file bash script,"sed '/162\.298\.38\.932/a\162.298.38.929' ip.txt
",None
script started,"# ps -aefO lstart | head       
  PID                  STARTED S TTY          TIME COMMAND
31379 Sat Aug  2 21:31:11 2014 S pts/3    00:00:00 zsh
31399 Sat Aug  2 21:31:11 2014 S pts/3    00:00:00  \_ vim
27313 Sat Aug 30 13:19:27 2014 S pts/4    00:00:20 zsh
27193 Sat Aug 30 13:18:11 2014 S pts/2    00:00:19 zsh
25196 Wed Sep  3 22:37:57 2014 S pts/16   00:00:00 zsh
25231 Wed Sep  3 22:38:00 2014 S pts/16   00:00:00  \_ sudo
25241 Wed Sep  3 22:38:04 2014 S pts/16   00:00:02      \_ zsh
24642 Sat Aug 30 12:50:48 2014 S pts/0    00:00:20 zsh
23366 Thu Sep  4 08:47:30 2014 S pts/18   00:00:00 zsh
","ps -p 11517 -o stime
"
make infinitely executing command kill certain conditions met,"loud_program | grep --max-count=NUM
",None
reference command,"vagrant up && !#:0 ssh
",None
installing noip via sh script,"#!/usr/bin/bash

cd /usr/local/src
wget http://www.no-ip.com/client/linux/noip-duc-linux.tar.gz
tar xf noip-duc-linux.tar.gz
cd noip-2.1.9-1/

/usr/bin/expect <<END_SCRIPT
spawn make install
expect ""Please enter the login/email*"" { send ""Username\r"" }
expect ""Please enter the password for user*"" { send ""password\r"" }
expect ""Please enter an update interval*"" { send ""30\r"" }
expect ""Do you wish to run something at successful update*"" {send ""N\r"" }
END_SCRIPT
",None
variable assignment inside bash script,"X () {
    Y=10 echo foo
}
",None
hide make targets shell users autocomplete bash,".PHONY: foo .hiddentarget
foo: foo.x .hiddentarget
foo.x: foo.c
        touch foo.x
.hiddentarget: foo.x
        echo foo.x ok, I believe
",None
assign space containing values variables bash using eval,"$ declare ""$var_name=$var_value""
$ echo ""fruit: >$fruit<""
fruit: >blue orange<
",None
create permanent alias script,"alias M=""/usr/cti/my_scripts/MAGIC.bash""
",None
shell script throws found error run sh file entered manually commands work,"bash script.sh
",None
bash syntax error,shopt -s extglob,None
specify redirected input compound command,man bash,None
bash script way get keybinding resize window,"gsettings get org.gnome.desktop.wm.keybindings begin-resize  
",None
possible set users gitconfig git config global dynamically,"[ -z ""$PS1"" ] && return
[ -z ""$BASH_VERSION"" -o -z ""$PS1"" ] && return
CFGFILE=""/home/$(who am i|awk '{ print $1 }')/.gitconfig""
[ $USER == ""root"" -a -f ""$CFGFILE"" -a -n ""$CFGFILE"" ] && cat $CFGFILE > $HOME/.gitconfig
",None
apt get update check gpg errors using scripts,apt-get --option,None
upstart bash function names containing,"script
/bin/bash <<EOT

echo ""Hi - I am running under the bash shell""

date

echo ""and so am I :)""

EOT
end script
",None
backspace deletes bash prompt,"PS1='\[non-printing terminal escapes here\]' 

man bash 2>/dev/null | grep '^ *\\\[' -A5

\[     begin  a  sequence  of   non-printing
       characters,  which  could  be used to
       embed  a  terminal  control  sequence
       into the prompt
\]     end  a sequence of non-printing char‐
       acters
",None
call executable called another folder,(cd ~ && /bin/food),None
control l clearing screen,"bind -x '""\C-l"": clear'",None
shell script error handling assigning stdout variable,"err_handler () {
    code=$?
    if [ $code -ne 0 ]
    then
        echo ""oops $1 didn't work""
        exit 1
    fi
}

trap 'err_handler' ERR
myvar=$(mktemp -p ./)
trap ERR
",None
run dialog command proccess,"#!/bin/bash

# this dialog will locate the tail box on the top of the screen
dialog --keep-window --begin 15 10  --tailboxbg  /var/log/syslog 13 125 \
       --and-widget  --begin 37 10  --tailbox    /var/log/dmesg  13 125
","dialog --keep-window --begin 0 0 --tailboxbg /var/log/process1.log 20 110 \
  --and-widget --keep-window --begin 0 120 --tailboxbg /var/log/process2.log 20 110 \
  --and-widget --begin 21 100 --msgbox ""Press Enter to exit."" 5 25
"
sudo su change directory,"alias userYYY='sudo su userYYY -c ""cd /a/path/that/only/userYYY/has/access; /bin/bash""'
","cd /a/path/that/only/userYYY/has/access
"
unix shells like work around,"foo=$(grep ""someword"" /path/to/somefile | awk '{print $3}')
",None
much data bash variable hold,"$ yes=$(yes)

bash: xrealloc: cannot allocate 18446744071562067968 bytes (1617920 bytes allocated)
","x=""$(mktemp)""
grep mohsen /etc/passwd > $x


root@debian:/home/mohsen# echo $x
/tmp/tmp.yuMRWrJbRI
"
bash combine replacement sub string extraction one step,"$ sed 's/[\.\/-]//g;s/^\(.\{16\}\).*/\1/' <<< ""./my-site.sub.domain.com""
mysitesubdomainc
","$ echo ${${mysite//[\.\/-]/}:0:16}
mysitesubdomainc
"
modify files add file name,"for file in *.txt; do echo ""$file""$'\n'""$(cat -- ""$file"")"" > ""$file""; done
","for f in *; do printf '%s\n' 1i ""$f"" . w q | ed ""$f""; done
"
